i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,conceito,NOUN,conceito,NOUN,True
3,de,ADP,de,ADP,True
4,células,NOUN,células,NOUN,True
5,a,ADP,a,ADP,True
6,combustível,NOUN,combustível,NOUN,True
7,(,PUNCT,(,PUNCT,True
8,CC,PROPN,CC,PROPN,True
9,),PUNCT,),PUNCT,True
10,existe,VERB,existe,VERB,True
11,há,ADP,há,VERB,False
12,mais,ADV,mais,ADV,True
13,de,ADP,de,ADP,True
14,150,NUM,150,NUM,True
15,anos,NOUN,anos,NOUN,True
16,",",PUNCT,",",PUNCT,True
17,cuja,DET,cuja,PRON,False
18,paternidade,NOUN,paternidade,NOUN,True
19,é,AUX,é,AUX,True
20,atribuída,VERB,atribuída,VERB,True
21,a,ADP,a,ADP,True
22,Sir,PROPN,Sir,PROPN,True
23,William,PROPN,William,PROPN,True
24,Grove,PROPN,Grove,PROPN,True
25,",",PUNCT,",",PUNCT,True
26,que,PRON,que,PRON,True
27,teve,VERB,teve,VERB,True
28,a,DET,a,DET,True
29,idéia,NOUN,idéia,NOUN,True
30,durante,ADP,durante,ADP,True
31,seus,DET,seus,DET,True
32,experimentos,NOUN,experimentos,NOUN,True
33,sobre,ADP,sobre,ADP,True
34,a,DET,a,DET,True
35,eletrólise,NOUN,eletrólise,NOUN,True
36,de,ADP,de,ADP,True
37,água,NOUN,água,NOUN,True
38,",",PUNCT,",",PUNCT,True
39,quando,ADV,quando,SCONJ,False
40,imaginou,VERB,imaginou,VERB,True
41,como,ADV,como,SCONJ,False
42,seria,AUX,seria,AUX,True
43,o,DET,o,DET,True
44,processo,NOUN,processo,NOUN,True
45,inverso,ADJ,inverso,ADJ,True
46,",",PUNCT,",",PUNCT,True
47,ou,CCONJ,ou,CCONJ,True
48,seja,VERB,seja,VERB,True
49,",",PUNCT,",",PUNCT,True
50,a,DET,a,DET,True
51,reação,NOUN,reação,NOUN,True
52,entre,ADP,entre,ADP,True
53,hidrogênio,NOUN,hidrogênio,NOUN,True
54,e,CCONJ,e,CCONJ,True
55,oxigênio,NOUN,oxigênio,NOUN,True
56,para,SCONJ,para,SCONJ,True
57,gerar,VERB,gerar,VERB,True
58,eletricidade,NOUN,eletricidade,NOUN,True
59,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,termo,NOUN,termo,NOUN,True
3,célula,ADJ,célula,NOUN,False
4,a,ADP,a,ADP,True
5,combustível,NOUN,combustível,NOUN,True
6,surgiu,VERB,surgiu,VERB,True
7,então,ADV,então,ADV,True
8,em,ADP,em,ADP,True
9,1839,NUM,1839,NUM,True
10,",",PUNCT,",",PUNCT,True
11,criado,VERB,criado,VERB,True
12,por,ADP,por,ADP,True
13,Ludwig,PROPN,Ludwig,PROPN,True
14,Mond,PROPN,Mond,PROPN,True
15,e,CCONJ,e,CCONJ,True
16,Charles,PROPN,Charles,PROPN,True
17,Langer,PROPN,Langer,PROPN,True
18,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1-2,No,_,No,_,True
1,Em,ADP,Em,ADP,True
2,o,DET,o,DET,True
3,final,NOUN,final,NOUN,True
4-5,dos,_,dos,_,True
